No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
31.0,Olivier Spencer,OH,156751,2022,USA,USA,24.0,198,-,-,-,-,-,-,-,-,-,-,-
,John Speraw,COACH,N/A,2022,USA,,,,,,,,,,,,,,
1.0,Sanchez Matias,S,142412,2023,Argentina,Argentina,27.0,175,1,0.08,0,0.00%,0.00,0,0.00%,0.00,1,1.61%,0.08
3.0,Martinez Franchi Jan,U,142410,2023,Argentina,Argentina,26.0,190,28,2.15,25,38.46%,1.92,2,12.50%,0.15,1,2.86%,0.08
4.0,Gallego Joaquin,MB,142411,2023,Argentina,Argentina,27.0,204,20,1.54,14,46.67%,1.08,6,19.35%,0.46,0,0.00%,0.00
7.0,Palonsky Luciano,OH,162546,2023,Argentina,Argentina,24.0,198,183,14.08,151,49.35%,11.62,13,18.84%,1.00,19,9.31%,1.46
8.0,Loser Agustin,MB,152692,2023,Argentina,Argentina,26.0,198,168,12.92,103,63.98%,7.92,53,32.52%,4.08,12,5.56%,0.92
9.0,Danani Santiago,L,153053,2023,Argentina,Argentina,28.0,176,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Zelayeta Mauro,OH,160816,2023,Argentina,Argentina,24.0,190,1,0.08,1,100%,0.08,0,-,-,0,0.00%,0.00
11.0,Armoa Manuel,OH,174853,2023,Argentina,Argentina,21.0,195,14,1.08,10,45.45%,0.77,1,25.00%,0.08,3,15.79%,0.23
12.0,Lima Bruno,O,142415,2023,Argentina,Argentina,28.0,198,133,10.23,119,52.65%,9.15,7,11.48%,0.54,7,5.22%,0.54
15.0,De Cecco Luciano,S,117457,2023,Argentina,Argentina,35.0,191,16,1.78,7,50.00%,0.78,5,12.20%,0.56,4,3.03%,0.44
16.0,Koukartsev Pablo Sergio,O,141282,2023,Argentina,Argentina,31.0,203,90,6.92,81,43.09%,6.23,6,20.69%,0.46,3,3.57%,0.23
17.0,Vicentin Luciano,OH,163555,2023,Argentina,Argentina,23.0,197,133,10.23,112,38.62%,8.62,15,19.48%,1.15,6,4.00%,0.46
18.0,Ramos Martin,MB,125047,2023,Argentina,Argentina,32.0,197,26,2.00,18,60.00%,1.38,8,25.00%,0.62,0,0.00%,0.00
22.0,Zerba Nicolas,MB,162543,2023,Argentina,Argentina,24.0,203,52,4.00,40,53.33%,3.08,9,10.47%,0.69,3,3.03%,0.23
,Marcelo Rodolfo Mendez,COACH,N/A,2023,Argentina,,,,,,,,,,,,,,
1.0,Rezende Bruno Mossa,S,116099,2023,Brazil,Brazil,37.0,190,15,1.15,5,45.45%,0.38,6,9.52%,0.46,4,2.48%,0.31
